          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620       1       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       5    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       6    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      10   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      14    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      15    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      16   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      17   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       1      18   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       2       1    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       2    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       3    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       5   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       2       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       7    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      10    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      12    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      14   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       2      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      16    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       2      18    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       1    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       2    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       3    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       5    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       7    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      10    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      12    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      14    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      16    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       3      18    0.00000000    0.00000000   -0.00000000
